Timestamp,Symbol,Google Price,Yahoo Price,Delta,Accuracy %
2025-07-18 15:33:33,AAPL,210.88,210.85,0.0300,99.9858
2025-07-18 15:33:33,GOOGL,184.66,184.68,-0.0200,99.9892
2025-07-18 15:33:33,MSFT,509.91,509.89,0.0200,99.9961
2025-07-18 15:33:33,F,11.17,11.16,0.0100,99.9104
2025-07-18 15:33:47,AAPL,210.88,210.87,0.0100,99.9953
2025-07-18 15:33:47,GOOGL,184.66,184.71,-0.0500,99.9729
2025-07-18 15:33:47,MSFT,509.88,509.87,0.0100,99.9980
2025-07-18 15:33:47,F,11.17,11.16,0.0100,99.9104
2025-07-18 15:33:58,AAPL,210.88,210.90,-0.0200,99.9905
2025-07-18 15:33:58,GOOGL,184.70,184.68,0.0200,99.9892
2025-07-18 15:33:58,MSFT,509.88,509.79,0.0900,99.9823
2025-07-18 15:33:58,F,11.17,11.16,0.0100,99.9104
2025-07-18 15:34:09,AAPL,210.88,210.89,-0.0100,99.9953
2025-07-18 15:34:09,GOOGL,184.70,184.65,0.0500,99.9729
2025-07-18 15:34:09,MSFT,509.86,509.67,0.1900,99.9627
2025-07-18 15:34:09,F,11.17,11.16,0.0100,99.9104
2025-07-18 15:34:20,AAPL,210.91,210.88,0.0300,99.9858
2025-07-18 15:34:20,GOOGL,184.67,184.68,-0.0100,99.9946
2025-07-18 15:34:20,MSFT,509.65,509.65,0.0000,100.0000
2025-07-18 15:34:20,F,11.17,11.16,0.0100,99.9104
2025-07-18 15:34:32,AAPL,210.89,210.91,-0.0200,99.9905
2025-07-18 15:34:32,GOOGL,184.67,184.68,-0.0100,99.9946
2025-07-18 15:34:32,MSFT,509.66,509.74,-0.0800,99.9843
2025-07-18 15:34:32,F,11.17,11.16,0.0100,99.9104
2025-07-18 15:34:43,AAPL,210.90,210.88,0.0200,99.9905
2025-07-18 15:34:43,GOOGL,184.68,184.68,0.0000,100.0000
2025-07-18 15:34:43,MSFT,509.75,509.75,0.0000,100.0000
2025-07-18 15:34:43,F,11.17,11.16,0.0100,99.9104
2025-07-18 15:34:55,AAPL,210.88,210.89,-0.0100,99.9953
2025-07-18 15:34:55,GOOGL,184.69,184.66,0.0300,99.9838
2025-07-18 15:34:55,MSFT,509.75,509.72,0.0300,99.9941
2025-07-18 15:34:55,F,11.17,11.16,0.0100,99.9104
2025-07-18 15:35:06,AAPL,210.89,210.90,-0.0100,99.9953
2025-07-18 15:35:06,GOOGL,184.68,184.70,-0.0200,99.9892
2025-07-18 15:35:06,MSFT,509.73,509.72,0.0100,99.9980
2025-07-18 15:35:06,F,11.17,11.17,0.0000,100.0000
2025-07-18 15:35:18,AAPL,210.88,210.92,-0.0400,99.9810
2025-07-18 15:35:18,GOOGL,184.67,184.69,-0.0200,99.9892
2025-07-18 15:35:18,MSFT,509.73,509.64,0.0900,99.9823
2025-07-18 15:35:18,F,11.17,11.16,0.0100,99.9104
2025-07-18 15:35:29,AAPL,210.92,210.94,-0.0200,99.9905
2025-07-18 15:35:29,GOOGL,184.70,184.68,0.0200,99.9892
2025-07-18 15:35:29,MSFT,509.64,509.68,-0.0400,99.9922
2025-07-18 15:35:29,F,11.17,11.16,0.0100,99.9104
2025-07-18 15:35:40,AAPL,210.93,210.94,-0.0100,99.9953
2025-07-18 15:35:40,GOOGL,184.70,184.68,0.0200,99.9892
2025-07-18 15:35:40,MSFT,509.71,509.71,0.0000,100.0000
2025-07-18 15:35:40,F,11.17,11.16,0.0100,99.9104
2025-07-18 15:35:54,AAPL,210.94,210.92,0.0200,99.9905
2025-07-18 15:35:54,GOOGL,184.70,184.73,-0.0300,99.9838
2025-07-18 15:35:54,MSFT,509.70,509.73,-0.0300,99.9941
2025-07-18 15:35:54,F,11.17,11.16,0.0100,99.9104
2025-07-18 15:36:07,AAPL,210.94,210.91,0.0300,99.9858
2025-07-18 15:36:07,GOOGL,184.70,184.71,-0.0100,99.9946
2025-07-18 15:36:07,MSFT,509.74,509.76,-0.0200,99.9961
2025-07-18 15:36:07,F,11.17,11.16,0.0100,99.9104
2025-07-18 15:36:19,AAPL,210.94,210.95,-0.0100,99.9953
2025-07-18 15:36:19,GOOGL,184.71,184.72,-0.0100,99.9946
2025-07-18 15:36:19,MSFT,509.73,509.86,-0.1300,99.9745
2025-07-18 15:36:19,F,11.17,11.16,0.0100,99.9104
